Tax.Liens,Number.of.Open.Accounts,Years.of.Credit.History,Maximum.Open.Credit,Bankruptcies,Current.Loan.Amount,Current.Credit.Balance,Monthly.Debt,Credit.Default,Annual_Income,Months.since.last.delinquent,Home.Ownership_woe,Purpose_woe,Term_woe,Years.in.current.job_woe
0,12,17.5,700062,0,525998,174135,9320,1,1408527,21,-0.193546938,0.248929095,0.583192905,0.013849095
0,5,16.3,96998,0,148632,29982,6498,0,613966,40,-0.193546938,-0.212403717,-0.235664764,0.013849095
0,8,13.1,797874,0,308616,360392,35030,0,1428865.041,37,0.180264064,-0.019463863,-0.235664764,0.126700744
0,9,16,778448,0,462000,414808,19950,0,1140000,44,0.180264064,-0.019463863,0.583192905,0.126700744
0,9,12.1,862422,0,351670,155667,4773,1,1631644,46,-0.193546938,0.248929095,-0.235664764,-0.68396445
0,17,32.5,2322650,0,448184,136401,29320,0,1693799.752,24,0.092368046,0.248929095,-0.235664764,0.126700744
0,12,15.7,632170,0,99999999,251693,8622,0,808298,30,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,7,9,415250,0,174438,185402,7735,0,1191983.441,33,0.180264064,-0.019463863,-0.235664764,0.126700744
0,11,18.1,227876,3,108504,104899,10351,1,985815,51,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,6,36.8,263934,0,111848,60173,16918,0,1242522.559,70,0.180264064,-0.019463863,0.583192905,0.126700744
0,6,16.5,655292,0,109384,294291,16606,0,1001357,66,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,13,17.2,1211430,0,381106,636101,51205,0,2539103,21,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,17,18,9339924,0,592240,959899,16813,0,1301614,34,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,9,18,769604,0,390258,429381,19188,0,1934884,51,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,11,14.8,715462,0,210826,285475,18147,1,1533566,19,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,18,32,2672516,0,741774,678585,17991,0,1375068,22,-0.193546938,-0.019463863,0.583192905,0.126700744
0,13,19.4,551320,0,100144,167599,12648,0,1041675,16,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,6,16.9,0,0,165924,0,9021,0,601369,14,0.180264064,-0.019463863,-0.235664764,0.126700744
0,12,12.9,384736,0,276562,275462,25863,0,1642075,14,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,5,6.1,249810,0,337502,119529,15215,1,1049294,48,0.180264064,0.248929095,-0.235664764,-0.1128066
0,8,20.5,657360,0,199936,250933,13565,0,805828,38,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,13,11.4,383548,0,210518,276583,11553,1,757568,19,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,17,20.6,613954,1,196130,181336,16251,1,1242087,36,0.180264064,-0.019463863,-0.235664764,0.126700744
0,9,39.6,644204,0,99999999,224770,4326,0,337079,0,0.092368046,-0.212403717,-0.235664764,0.126700744
0,10,16.3,796312,0,333564,320473,16645,0,960260,34,0.180264064,0.248929095,0.583192905,0.126700744
0,7,8.5,576378,0,299376,210064,6555,0,708624,50,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,7,18.8,593472,0,405944,432060,19511,0,1510538,45,0.180264064,-0.019463863,0.583192905,0.126700744
0,10,31.3,520740,0,99999999,332804,12148,0,1194834,30,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,16,17.6,1158630,0,343772,218139,5996,0,1459376.968,71,0.180264064,-0.212403717,-0.235664764,0.126700744
0,14,11.9,300740,0,90178,157149,14324,0,1133826.662,73,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,7,23.9,351516,0,99999999,10925,9755,0,1390306,52,0.180264064,0.248929095,-0.235664764,-0.68396445
0,14,14.6,602954,0,99999999,216106,12258,0,1131545,44,0.180264064,-0.019463863,0.583192905,-0.1128066
0,9,13.8,259842,0,151514,160455,13511,0,1201694.496,18,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,14,18,283448,2,243694,194598,15306,0,1530640,61,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,11,8,141020,0,379698,95247,10478,1,1030579,40,0.180264064,0.248929095,0.583192905,0.126700744
0,10,23.8,147950,0,224246,95456,13780,1,1039984,63,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,10,12.2,325490,0,223322,168663,15076,0,1350083,29,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,9,17,372878,0,460438,285323,24974,0,1637629,37,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,12,6,288772,0,109318,82308,11611,0,566409,66,0.180264064,0.248929095,-0.235664764,-0.1128066
0,8,6.4,405284,0,182336,158555,21091,0,1190206.082,23,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,10,9.8,251900,0,99999999,41762,7600,0,405346,5,0.180264064,-0.019463863,-0.235664764,0.013849095
0,9,10.3,330176,0,176286,124602,6968,1,494798,17,0.180264064,-0.019463863,-0.235664764,0.013849095
0,11,21.7,1046694,0,749276,854240,25376,0,2379047,27,-0.193546938,-0.019463863,0.583192905,0.126700744
0,14,17.7,1467620,0,648648,996246,42987,0,2334150,42,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,9,20.5,847990,0,545336,186751,12214,0,1933573,36,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,15,13.2,697004,0,221364,164331,12841,0,1242657,59,-0.193546938,-0.019463863,0.583192905,0.126700744
0,8,33.6,651794,0,108218,401356,15390,0,1141319.817,13,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,8,18,909018,0,434324,372115,6509,1,1594176,43,-0.193546938,0.248929095,0.583192905,0.126700744
0,17,21.7,4477858,0,326348,1009356,16441,0,1878910,1,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,14,19.1,349844,1,326700,58007,15001,1,564300,13,-0.193546938,-0.019463863,0.583192905,0.126700744
0,11,14.1,296692,0,110792,187321,19964,0,1203977.855,74,0.180264064,-0.212403717,-0.235664764,-0.1128066
0,7,18.8,385242,0,78628,159695,17971,1,1219724,17,0.180264064,0.248929095,0.583192905,0.126700744
0,6,23,935814,0,137566,661922,23642,1,3694037,4,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,10,15.5,209220,0,337502,103360,18460,0,1446325.735,8,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,12,21.2,196460,0,128370,88236,10497,1,968924,35,0.180264064,-0.019463863,-0.235664764,0.126700744
0,11,27.3,235620,2,116226,105811,11566,0,606062,55,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,6,20.4,249392,0,331056,152285,10321,1,1195016.247,56,0.092368046,-0.019463863,-0.235664764,0.126700744
0,16,20.7,612216,0,412852,378062,25810,1,1180954.242,42,0.180264064,-0.019463863,0.583192905,0.126700744
0,11,20.1,414502,1,99999999,156427,3912,0,700625,68,-0.193546938,-0.019463863,-0.235664764,-0.68396445
0,17,7.8,1387606,0,99999999,293607,19183,0,2676758,13,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,16,16.5,561462,0,143792,207537,9582,1,395124,21,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,12,16.8,362032,1,430980,229482,15794,0,1620359.344,35,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,7,16,1286186,0,99999999,242155,2953,0,1440257,30,-0.193546938,0.248929095,-0.235664764,0.013849095
0,19,20.8,957550,0,345884,619419,18055,1,1026817,26,-0.193546938,-0.019463863,0.583192905,0.126700744
0,7,14.5,329890,0,325578,207138,12934,1,749816,33,0.180264064,-0.212403717,-0.235664764,-0.1128066
0,10,33.7,763906,0,212674,502075,14388,0,918384,11,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,4,14.2,730466,0,614086,383553,6911,0,1988825,41,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,5,16,131230,0,266904,88407,7566,1,901588,55,0.180264064,-0.019463863,0.583192905,0.126700744
0,10,20.2,1417042,0,440308,671878,33841,0,1699653.273,17,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,5,16.7,525778,0,99999999,53580,1683,0,756276,30,0.180264064,0.248929095,0.583192905,0.013849095
0,15,31.7,4191176,0,269258,3547262,20783,0,2131591,34,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,15,16.6,667480,0,783332,328016,64751,0,2899305,30,-0.193546938,-0.019463863,0.583192905,0.126700744
0,7,18.6,601766,0,327888,220875,13936,0,1951319,30,-0.193546938,0.248929095,-0.235664764,0.013849095
0,18,25.5,1553530,0,99999999,633289,94674,0,4580976,30,-0.193546938,-0.019463863,0.583192905,0.013849095
0,7,23.3,522104,1,436524,257013,19897,0,1808800,61,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,23,17.8,1267530,0,99999999,839629,39064,0,2379522,37,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,13,31.4,2170894,0,465234,628083,30150,0,2334226,26,-0.193546938,-0.019463863,-0.235664764,-0.68396445
0,10,17.9,274934,0,151184,163362,13221,1,848426,18,0.180264064,-0.019463863,-0.235664764,0.126700744
0,17,12,671176,0,290686,213902,17660,0,1197323,35,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,16,19.4,559020,0,326524,438862,20960,1,708491,21,0.092368046,-0.019463863,-0.235664764,0.126700744
0,9,20.5,552662,0,541530,368486,26056,0,1281455,41,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,7,9.5,237138,0,61402,58159,3091,0,833416,59,0.092368046,-0.019463863,-0.235664764,0.126700744
0,7,7.8,652762,0,87406,187169,9872,0,696863,28,0.180264064,0.248929095,-0.235664764,0.013849095
0,11,34,465124,0,523886,272745,32009,0,2356475,14,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,17,20.6,1824306,0,626538,967385,63515,0,1785316.01,47,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,12,4.8,943360,0,144958,97774,3060,0,597075,31,0.180264064,-0.019463863,-0.235664764,0.013849095
0,9,9.1,101442,0,40546,51585,4553,1,935169.6005,3,0.092368046,-0.212403717,-0.235664764,0.126700744
0,19,10.1,1115114,0,264572,471903,24350,0,1770895,68,-0.193546938,-0.019463863,-0.235664764,0.126700744
1,7,23.4,180488,0,646800,13870,17763,0,2010960,40,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,24,20.5,2940916,0,260414,985473,40120,0,1308665.675,26,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,16,32,1630618,0,615318,1080131,42513,1,2657074,14,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,24,19.7,707630,0,322630,400900,26470,0,1857554,11,0.180264064,-0.019463863,-0.235664764,0.013849095
0,23,10.5,450626,0,114488,101574,10799,1,479940,18,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,17,14.5,868538,0,99999999,182267,17817,0,929575,30,0.180264064,-0.019463863,-0.235664764,0.126700744
0,19,30,611798,0,562100,284791,22562,1,1417514,32,0.180264064,-0.019463863,-0.235664764,0.126700744
0,3,8.8,0,0,218042,0,5855,0,815157,57,0.180264064,0.248929095,-0.235664764,0.013849095
0,9,10.6,283096,0,261140,95342,15678,1,1221662,26,-0.193546938,0.248929095,-0.235664764,0.013849095
0,11,13.3,840048,0,332640,587651,18520,1,2298240,41,0.180264064,-0.019463863,-0.235664764,0.126700744
0,12,26,402556,0,61248,233966,35919,0,1738044,76,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,12,20.9,700942,0,215754,494589,21801,0,1341590,30,-0.193546938,-0.019463863,-0.235664764,-0.68396445
0,7,15,402886,0,178002,265506,17615,0,1192503.766,71,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,10,15.4,271832,0,377652,170677,4597,0,1077490,12,0.180264064,-0.019463863,0.583192905,0.126700744
0,12,10.8,362406,0,268334,231610,11259,0,637279,31,0.180264064,-0.019463863,-0.235664764,0.013849095
0,12,40.3,607684,0,124652,455544,25979,1,1304407,25,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,16,14.4,635052,0,99999999,329631,30327,0,1130196,8,0.180264064,-0.019463863,0.583192905,0.013849095
0,9,15.8,313478,0,221342,137807,12387,0,917567,37,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,12,22.4,359876,0,112420,299307,19370,0,679630,45,0.092368046,-0.019463863,-0.235664764,0.126700744
0,18,17.3,1540198,0,218988,95779,15642,0,1229489.199,43,0.180264064,-0.019463863,-0.235664764,0.013849095
0,10,21.5,305756,0,332288,202806,21355,1,1195016.247,65,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,15,26.4,1043658,0,263780,517370,21288,0,1101126,19,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,11,20.5,238326,0,131384,45904,7414,0,567378,24,0.180264064,-0.019463863,-0.235664764,0.013849095
0,6,30,290136,0,133848,136306,24689,0,1627825,7,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,19,22.4,2847174,1,715682,287698,33084,1,1733674,45,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,9,9.8,455048,0,225984,311258,14015,0,564357,77,0.180264064,-0.019463863,-0.235664764,0.013849095
0,4,15.3,286044,0,261514,237405,6837,1,656336,36,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,20,9.6,141570,0,134838,86811,3303,0,892791,34,0.180264064,-0.019463863,-0.235664764,0.013849095
0,9,21.8,650562,0,108372,383743,7886,0,1141319.817,32,0.180264064,-0.019463863,-0.235664764,0.013849095
0,15,12.2,776160,0,542080,350569,16048,0,1226583,41,-0.193546938,-0.019463863,0.583192905,0.013849095
0,12,38.7,836220,0,128744,578474,14354,0,509599,38,-0.193546938,0.248929095,-0.235664764,-0.68396445
0,6,26.6,495924,0,187594,174325,4906,1,486552,33,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,15,20.1,641432,0,271810,232655,45791,0,2065756,16,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,7,11.8,96800,0,51612,74233,5146,0,835601,48,0.180264064,-0.019463863,-0.235664764,0.013849095
0,5,24.3,47938,0,39138,9310,8453,0,563502,63,0.180264064,0.248929095,-0.235664764,0.013849095
0,12,19.7,1051688,0,423720,618545,43383,0,1546248.35,41,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,14,18.5,651310,0,322124,473632,23570,0,1159152,14,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,9,13.8,951676,0,603812,329593,12664,0,1786691.654,17,-0.193546938,-0.212403717,-0.235664764,-0.1128066
0,14,16,421850,0,133210,241547,31575,1,1533984,55,0.092368046,0.248929095,-0.235664764,0.013849095
0,17,20.7,269148,0,269148,175503,32983,0,1315133.48,31,-0.193546938,0.248929095,-0.235664764,0.126700744
0,12,15.1,1226390,0,365090,134520,3137,1,863341,31,0.092368046,0.248929095,-0.235664764,0.126700744
0,11,13,164780,1,93500,80693,16933,0,749816,75,0.180264064,-0.019463863,-0.235664764,0.013849095
0,8,17.7,268070,0,265716,198645,13554,0,860567,22,0.180264064,-0.019463863,-0.235664764,0.013849095
0,6,23.4,649770,0,99999999,45448,906,0,1325212,30,0.180264064,-0.212403717,-0.235664764,0.126700744
0,8,21.5,901516,0,99999999,478819,11190,0,1119024,30,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,3,30.1,749144,0,71720,32357,2070,0,446025,31,0.180264064,-0.019463863,-0.235664764,0.126700744
0,7,52.2,711524,0,429880,500802,41024,1,1893426,36,-0.193546938,-0.019463863,0.583192905,0.126700744
0,12,24.5,657052,0,534644,347852,18341,0,1539152,14,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,4,22.5,281512,1,112728,38893,8031,0,584079,40,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,6,19.4,63184,0,107976,29089,14465,1,730835,11,0.180264064,-0.212403717,-0.235664764,0.013849095
0,6,26.6,200420,1,174108,84303,2220,0,699162,70,0.180264064,-0.019463863,-0.235664764,-0.68396445
2,11,36.5,928598,0,358974,441085,18601,0,1162572,41,-0.193546938,-0.019463863,0.583192905,0.013849095
0,12,17.2,1553596,0,534292,474981,31002,1,1730349,37,-0.193546938,-0.019463863,0.583192905,0.126700744
0,6,19.7,291082,0,99999999,236816,3488,0,857660,0,0.180264064,-0.019463863,-0.235664764,0.126700744
0,10,17.9,190190,0,151118,44194,17596,0,699181,64,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,10,27.7,988350,0,99999999,29013,10147,0,1636622,41,-0.193546938,-0.212403717,-0.235664764,0.013849095
0,11,23.3,1155924,0,309430,618944,16907,0,1418768,35,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,12,16.3,653202,0,304392,200830,26445,0,1408209.681,5,0.180264064,-0.019463863,-0.235664764,0.013849095
0,13,19.4,351208,0,173514,209893,24839,1,1910678,39,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,8,20,228712,0,150942,121277,13222,0,1175249.1,52,0.092368046,-0.019463863,-0.235664764,0.126700744
0,13,26.5,846582,0,421212,628064,60805,0,3542075,45,-0.193546938,-0.019463863,0.583192905,0.126700744
0,5,16.5,130746,0,159456,93822,27527,1,2104003,29,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,5,8.3,329054,0,154132,149188,3422,1,665532,44,0.092368046,-0.019463863,-0.235664764,0.013849095
0,11,14,558250,0,129206,24586,930,0,1180601.705,25,0.092368046,-0.019463863,-0.235664764,0.126700744
0,10,13.5,858242,0,152768,340955,19241,0,1319360,32,0.180264064,-0.019463863,-0.235664764,0.013849095
0,8,15,888536,0,374220,307724,13427,0,1425855,14,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,8,12.9,174394,0,237446,134653,16702,1,954389,19,0.180264064,-0.019463863,-0.235664764,0.126700744
0,25,42.1,1584308,0,448712,1082297,46648,0,2073261,24,-0.193546938,-0.019463863,-0.235664764,-0.68396445
0,8,21.6,887502,0,152988,270560,11270,1,1030876.97,44,-0.193546938,0.248929095,-0.235664764,-0.1128066
0,13,16.7,151514,0,156772,127471,16087,0,1010724,78,0.180264064,-0.019463863,-0.235664764,0.126700744
0,7,16.9,434984,0,510884,323076,16546,1,1499141.15,70,-0.193546938,-0.019463863,0.583192905,-0.1128066
0,17,23.3,1051886,0,784322,518738,95508,1,1776815.603,39,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,11,18.3,317922,0,193248,261383,48917,1,1726492,58,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,4,14.3,129096,0,172172,96881,3102,0,706268,20,-0.193546938,-0.019463863,-0.235664764,-0.1128066
0,14,32.1,1603382,0,99999999,844683,16377,0,953990,22,-0.193546938,-0.019463863,-0.235664764,-0.1128066
1,17,16.9,1875918,0,402512,635075,29302,1,1208324,29,0.180264064,-0.019463863,0.583192905,0.126700744
0,13,21.6,353980,0,99999999,278502,17153,0,1130956,30,0.180264064,-0.019463863,-0.235664764,0.126700744
0,6,10.4,693726,0,224048,225264,9791,0,1236647.751,53,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,7,27.3,541200,0,336710,295868,17812,0,1434538,60,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,17,21.3,259050,0,200200,181222,22140,0,1189053.838,26,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,9,13,163196,0,220484,127414,19315,0,1294850,48,0.180264064,-0.019463863,-0.235664764,0.013849095
0,6,21.1,0,0,108042,0,30340,0,2033931,23,-0.193546938,-0.212403717,-0.235664764,0.013849095
1,9,17.8,290246,0,357522,141626,12607,0,1292988,58,0.180264064,-0.019463863,-0.235664764,0.126700744
0,9,15,639078,0,99999999,256652,12442,0,1532920,76,0.180264064,0.248929095,0.583192905,0.126700744
0,10,16,193512,1,101508,98439,12015,1,556662,49,0.180264064,-0.019463863,-0.235664764,0.126700744
0,11,30.2,433620,1,642246,307838,23170,0,1235741,31,-0.193546938,-0.019463863,0.583192905,0.126700744
0,10,9.9,430826,0,202004,175978,6450,0,1589464,19,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,6,14.8,403216,0,222794,208943,11596,0,1260406.626,65,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,11,18.1,563156,0,218504,285000,21604,0,855608,38,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,7,16.5,428890,0,269500,313006,15904,1,1551616,45,-0.193546938,0.248929095,-0.235664764,0.126700744
0,19,23.5,1113068,0,343200,825740,45013,0,2260050,56,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,5,17.5,140624,0,185746,32072,10744,1,447659,58,0.180264064,-0.019463863,-0.235664764,0.013849095
0,5,22.4,0,0,338096,0,395,0,1245792,58,0.180264064,-0.019463863,0.583192905,-0.1128066
0,13,21,1359578,0,783244,549518,20809,0,1642778,31,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,4,25.6,239668,0,64812,161044,3750,1,746320,38,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,10,16.8,296890,0,99999999,16150,9123,0,1338322,30,-0.193546938,0.248929095,-0.235664764,0.126700744
0,18,15.4,1060752,0,99999999,239096,16406,0,1215278,32,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,11,12.5,391468,0,221782,50369,23128,1,861935,9,-0.193546938,0.248929095,0.583192905,-0.68396445
0,17,10.2,354574,0,382624,912,9187,0,918707,13,0.180264064,0.248929095,-0.235664764,0.013849095
0,5,17.8,447326,0,89298,84987,1580,0,559151,26,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,2,10.5,0,0,76670,0,6432,0,1133002.584,33,0.092368046,0.248929095,-0.235664764,0.126700744
0,9,8.9,314490,0,434060,118427,15838,0,1650917.546,67,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,6,7.8,345862,0,196438,109630,10065,0,674785,29,0.180264064,-0.212403717,-0.235664764,-0.1128066
